fare_id,destination_id,origin_id
M_2,34_MGR_METRO_S,180_SQO_METRO_S
M_1,226_AIN_METRO_N,180_SQO_METRO_S
M_1,178_DZT_METRO_S,180_SQO_METRO_S
M_3,27_TAS_METRO_N,180_SQO_METRO_S
M_3,14_HOF_METRO_N,180_SQO_METRO_S
M_1,178_DZT_METRO_N,180_SQO_METRO_S
M_1,81_ATT_METRO_N,180_SQO_METRO_S
M_2,369_FAS_METRO_N,180_SQO_METRO_S
M_2,370_CUN_METRO_S,180_SQO_METRO_S
M_1,144_MSA_METRO_N,180_SQO_METRO_S
M_1,86_SAD_METRO_N2,180_SQO_METRO_S
M_2,370_CUN_METRO_N,180_SQO_METRO_S
M_2,369_FAS_METRO_S,180_SQO_METRO_S
M_1,153_RFG_METRO_N,180_SQO_METRO_S
M_1,144_MSA_METRO_S,180_SQO_METRO_S
M_2,157_KHL_METRO_S,180_SQO_METRO_S
M_1,100_SHO_METRO_N2,180_SQO_METRO_S
M_1,81_ATT_METRO_S,180_SQO_METRO_S
M_2,263_MON_METRO_S,180_SQO_METRO_S
M_2,158_MZL_METRO_S,180_SQO_METRO_S
M_1,153_RFG_METRO_S,180_SQO_METRO_S
M_2,457_OMS_METRO_S,180_SQO_METRO_S
M_2,157_KHL_METRO_N,180_SQO_METRO_S
M_2,457_OMS_METRO_N,180_SQO_METRO_S
M_2,263_MON_METRO_N,180_SQO_METRO_S
M_1,361_DOK_METRO_N,180_SQO_METRO_S
M_1,237_OPR_METRO_N,180_SQO_METRO_S
M_2,326_SHB_METRO_N,180_SQO_METRO_S
M_2,157_STR_METRO_N,180_SQO_METRO_S
M_1,237_OPR_METRO_S,180_SQO_METRO_S
M_1,361_DOK_METRO_S,180_SQO_METRO_S
M_2,457_MEK_METRO_N,180_SQO_METRO_S
M_2,158_MZL_METRO_N,180_SQO_METRO_S
M_2,457_MEK_METRO_S,180_SQO_METRO_S
M_1,100_SHO_METRO_S2,180_SQO_METRO_S
M_1,69_NAG_METRO_S,180_SQO_METRO_S
M_1,69_NAG_METRO_N,180_SQO_METRO_S
M_3,324_ZER_METRO_N,180_SQO_METRO_S
M_2,457_GIZ_METRO_N,180_SQO_METRO_S
M_2,361_BHO_METRO_S,180_SQO_METRO_S
M_3,324_ZER_METRO_S,180_SQO_METRO_S
M_2,157_STR_METRO_S,180_SQO_METRO_S
M_2,457_GIZ_METRO_S,180_SQO_METRO_S
M_1,86_SAD_METRO_S2,180_SQO_METRO_S
M_2,361_BHO_METRO_N,180_SQO_METRO_S
M_2,326_SHB_METRO_S,180_SQO_METRO_S
M_1,77_BSH_METRO_N,180_SQO_METRO_S
M_1,192_KBN_METRO_S,180_SQO_METRO_S
M_1,118_GES_METRO_N,180_SQO_METRO_S
M_1,77_BSH_METRO_S,180_SQO_METRO_S
M_1,208_FZO_METRO_S,180_SQO_METRO_S
M_1,161_ABB_METRO_N,180_SQO_METRO_S
M_1,163_ABB_METRO_S,180_SQO_METRO_S
M_1,118_GES_METRO_S,180_SQO_METRO_S
M_1,81_ATT_METRO_W,180_SQO_METRO_S
M_1,214_AHR_METRO_N,180_SQO_METRO_S
M_1,161_ABB_METRO_S,180_SQO_METRO_S
M_1,214_AHR_METRO_S,180_SQO_METRO_S
M_1,163_ABB_METRO_N,180_SQO_METRO_S
M_1,190_STA_METRO_N,180_SQO_METRO_S
M_1,190_STA_METRO_S,180_SQO_METRO_S
M_1,192_KBN_METRO_N,180_SQO_METRO_S
M_1,81_ATT_METRO_E,180_SQO_METRO_S
M_1,208_FZO_METRO_N,180_SQO_METRO_S
M_2,137_GHM_METRO_S,251_MRG_METRO_N
M_3,23_MAD_METRO_N,251_MRG_METRO_N
M_3,23_SMA_METRO_N,251_MRG_METRO_N
M_3,23_SMA_METRO_S,251_MRG_METRO_N
M_2,159_DMD_METRO_N,251_MRG_METRO_N
M_2,98_ORA_METRO_N,251_MRG_METRO_N
M_2,86_SAD_METRO_S,251_MRG_METRO_N
M_2,159_DMD_METRO_S,251_MRG_METRO_N
M_3,246_DAR_METRO_S,251_MRG_METRO_N
M_3,10_HLW_METRO_S,251_MRG_METRO_N
M_2,98_ORA_METRO_S,251_MRG_METRO_N
M_1,223_MAT_METRO_S,251_MRG_METRO_N
M_2,137_GHM_METRO_N,251_MRG_METRO_N
M_2,180_KQO_METRO_N,251_MRG_METRO_N
M_3,246_DAR_METRO_N,251_MRG_METRO_N
M_2,180_KQO_METRO_S,251_MRG_METRO_N
M_1,232_NKH_METRO_N,251_MRG_METRO_N
M_3,26_KZK_METRO_N,251_MRG_METRO_N
M_1,232_NKH_METRO_S,251_MRG_METRO_N
M_1,251_NMR_METRO_S,251_MRG_METRO_N
M_1,223_HZT_METRO_S,251_MRG_METRO_N
M_2,47_ZEI_Metro_N,251_MRG_METRO_N
M_3,32_MSH_Metro_S,251_MRG_METRO_N
M_3,26_KZK_METRO_S,251_MRG_METRO_N
M_1,251_NMR_METRO_N,251_MRG_METRO_N
M_3,32_MSH_Metro_N,251_MRG_METRO_N
M_2,47_ZEI_Metro_S,251_MRG_METRO_N
M_3,246_HMA_METRO_S,251_MRG_METRO_N
M_3,246_HMA_METRO_N,251_MRG_METRO_N
M_2,160_MSD_METRO_N,251_MRG_METRO_N
M_1,180_SQO_METRO_N,251_MRG_METRO_N
M_3,28_TBA_METRO_N,251_MRG_METRO_N
M_2,160_MSD_METRO_S,251_MRG_METRO_N
M_3,28_TBA_METRO_S,251_MRG_METRO_N
M_3,10_AHL_METRO_S,251_MRG_METRO_N
M_1,180_SQO_METRO_S,251_MRG_METRO_N
M_3,10_AHL_METRO_N,251_MRG_METRO_N
M_2,87_NAS_METRO_S,251_MRG_METRO_N
M_2,52_SZA_Metro_S,251_MRG_METRO_N
M_1,223_HZT_METRO_N,251_MRG_METRO_N
M_3,14_HHL_METRO_S,251_MRG_METRO_N
M_3,14_HHL_METRO_N,251_MRG_METRO_N
M_2,52_SZA_Metro_N,251_MRG_METRO_N
M_2,87_NAS_METRO_N,251_MRG_METRO_N
M_3,10_UHL_METRO_S,251_MRG_METRO_N
M_3,10_UHL_METRO_N,251_MRG_METRO_N
M_3,31_ZAH_Metro_S,251_MRG_METRO_N
M_3,14_HOF_METRO_S,251_MRG_METRO_N
M_3,31_ZAH_Metro_N,251_MRG_METRO_N
M_1,223_MAT_METRO_N,251_MRG_METRO_N
M_3,7_MAA_METRO_N,251_MRG_METRO_N
M_1,180_HQO_METRO_N,251_MRG_METRO_N
M_3,10_HLW_METRO_N,251_MRG_METRO_N
M_1,180_HQO_METRO_S,251_MRG_METRO_N
M_2,86_SAD_METRO_N,251_MRG_METRO_N
M_3,34_MGR_METRO_N,251_MRG_METRO_N
M_3,27_TAS_METRO_S,251_MRG_METRO_N
M_3,7_MAA_METRO_S,251_MRG_METRO_N
M_2,100_SHO_METRO_N,251_MRG_METRO_N
M_1,226_AIN_METRO_S,251_MRG_METRO_N
M_3,23_MAD_METRO_S,251_MRG_METRO_N
M_2,100_SHO_METRO_S,251_MRG_METRO_N
M_3,34_MGR_METRO_S,251_MRG_METRO_N
M_1,226_AIN_METRO_N,251_MRG_METRO_N
M_1,178_DZT_METRO_S,251_MRG_METRO_N
M_3,27_TAS_METRO_N,251_MRG_METRO_N
M_3,14_HOF_METRO_N,251_MRG_METRO_N
M_1,178_DZT_METRO_N,251_MRG_METRO_N
M_2,81_ATT_METRO_N,251_MRG_METRO_N
M_3,369_FAS_METRO_N,251_MRG_METRO_N
M_3,370_CUN_METRO_S,251_MRG_METRO_N
M_2,144_MSA_METRO_N,251_MRG_METRO_N
M_2,86_SAD_METRO_N2,251_MRG_METRO_N
M_3,370_CUN_METRO_N,251_MRG_METRO_N
M_3,369_FAS_METRO_S,251_MRG_METRO_N
M_2,153_RFG_METRO_N,251_MRG_METRO_N
M_2,144_MSA_METRO_S,251_MRG_METRO_N
M_2,157_KHL_METRO_S,251_MRG_METRO_N
M_2,100_SHO_METRO_N2,251_MRG_METRO_N
M_2,81_ATT_METRO_S,251_MRG_METRO_N
M_3,263_MON_METRO_S,251_MRG_METRO_N
M_2,158_MZL_METRO_S,251_MRG_METRO_N
M_2,153_RFG_METRO_S,251_MRG_METRO_N
M_3,457_OMS_METRO_S,251_MRG_METRO_N
M_2,157_KHL_METRO_N,251_MRG_METRO_N
M_3,457_OMS_METRO_N,251_MRG_METRO_N
M_3,263_MON_METRO_N,251_MRG_METRO_N
M_2,361_DOK_METRO_N,251_MRG_METRO_N
M_2,237_OPR_METRO_N,251_MRG_METRO_N
M_2,326_SHB_METRO_N,251_MRG_METRO_N
M_2,157_STR_METRO_N,251_MRG_METRO_N
M_2,237_OPR_METRO_S,251_MRG_METRO_N
M_2,361_DOK_METRO_S,251_MRG_METRO_N
M_3,457_MEK_METRO_N,251_MRG_METRO_N
M_2,158_MZL_METRO_N,251_MRG_METRO_N
M_3,457_MEK_METRO_S,251_MRG_METRO_N
M_2,100_SHO_METRO_S2,251_MRG_METRO_N
M_2,69_NAG_METRO_S,251_MRG_METRO_N
M_2,69_NAG_METRO_N,251_MRG_METRO_N
M_2,324_ZER_METRO_N,251_MRG_METRO_N
M_3,457_GIZ_METRO_N,251_MRG_METRO_N
M_2,361_BHO_METRO_S,251_MRG_METRO_N
M_2,324_ZER_METRO_S,251_MRG_METRO_N
M_2,157_STR_METRO_S,251_MRG_METRO_N
M_3,457_GIZ_METRO_S,251_MRG_METRO_N
M_2,86_SAD_METRO_S2,251_MRG_METRO_N
M_2,361_BHO_METRO_N,251_MRG_METRO_N
M_2,326_SHB_METRO_S,251_MRG_METRO_N
M_2,77_BSH_METRO_N,251_MRG_METRO_N
M_2,192_KBN_METRO_S,251_MRG_METRO_N
M_2,118_GES_METRO_N,251_MRG_METRO_N
M_2,77_BSH_METRO_S,251_MRG_METRO_N
M_1,208_FZO_METRO_S,251_MRG_METRO_N
M_2,161_ABB_METRO_N,251_MRG_METRO_N
M_2,163_ABB_METRO_S,251_MRG_METRO_N
M_2,118_GES_METRO_S,251_MRG_METRO_N
M_2,81_ATT_METRO_W,251_MRG_METRO_N
M_1,214_AHR_METRO_N,251_MRG_METRO_N
M_2,161_ABB_METRO_S,251_MRG_METRO_N
M_1,214_AHR_METRO_S,251_MRG_METRO_N
M_2,163_ABB_METRO_N,251_MRG_METRO_N
M_2,190_STA_METRO_N,251_MRG_METRO_N
M_2,190_STA_METRO_S,251_MRG_METRO_N
M_2,192_KBN_METRO_N,251_MRG_METRO_N
M_2,81_ATT_METRO_E,251_MRG_METRO_N
M_1,208_FZO_METRO_N,251_MRG_METRO_N
M_3,137_GHM_METRO_S,10_AHL_METRO_N
M_1,23_MAD_METRO_N,10_AHL_METRO_N
M_1,23_SMA_METRO_N,10_AHL_METRO_N
M_1,23_SMA_METRO_S,10_AHL_METRO_N
M_3,159_DMD_METRO_N,10_AHL_METRO_N
M_3,98_ORA_METRO_N,10_AHL_METRO_N
M_2,86_SAD_METRO_S,10_AHL_METRO_N
M_3,159_DMD_METRO_S,10_AHL_METRO_N
M_2,246_DAR_METRO_S,10_AHL_METRO_N
M_1,10_HLW_METRO_S,10_AHL_METRO_N
M_3,98_ORA_METRO_S,10_AHL_METRO_N
M_3,223_MAT_METRO_S,10_AHL_METRO_N
M_3,137_GHM_METRO_N,10_AHL_METRO_N
M_3,180_KQO_METRO_N,10_AHL_METRO_N
M_2,246_DAR_METRO_N,10_AHL_METRO_N
M_3,180_KQO_METRO_S,10_AHL_METRO_N
M_3,232_NKH_METRO_N,10_AHL_METRO_N
M_1,26_KZK_METRO_N,10_AHL_METRO_N
M_3,232_NKH_METRO_S,10_AHL_METRO_N
M_3,251_NMR_METRO_S,10_AHL_METRO_N
M_3,223_HZT_METRO_S,10_AHL_METRO_N
M_2,47_ZEI_Metro_N,10_AHL_METRO_N
M_2,32_MSH_Metro_S,10_AHL_METRO_N
M_1,26_KZK_METRO_S,10_AHL_METRO_N
M_3,251_NMR_METRO_N,10_AHL_METRO_N
M_2,32_MSH_Metro_N,10_AHL_METRO_N
M_2,47_ZEI_Metro_S,10_AHL_METRO_N
M_1,246_HMA_METRO_S,10_AHL_METRO_N
M_1,246_HMA_METRO_N,10_AHL_METRO_N
M_3,160_MSD_METRO_N,10_AHL_METRO_N
M_3,180_SQO_METRO_N,10_AHL_METRO_N
M_1,28_TBA_METRO_N,10_AHL_METRO_N
M_3,160_MSD_METRO_S,10_AHL_METRO_N
M_3,251_MRG_METRO_S,10_AHL_METRO_N
M_1,28_TBA_METRO_S,10_AHL_METRO_N
M_3,180_SQO_METRO_S,10_AHL_METRO_N
M_3,251_MRG_METRO_N,10_AHL_METRO_N
M_3,87_NAS_METRO_S,10_AHL_METRO_N
M_2,52_SZA_Metro_S,10_AHL_METRO_N
M_3,223_HZT_METRO_N,10_AHL_METRO_N
M_1,14_HHL_METRO_S,10_AHL_METRO_N
M_1,14_HHL_METRO_N,10_AHL_METRO_N
M_2,52_SZA_Metro_N,10_AHL_METRO_N
M_3,87_NAS_METRO_N,10_AHL_METRO_N
M_1,10_UHL_METRO_S,10_AHL_METRO_N
M_1,10_UHL_METRO_N,10_AHL_METRO_N
M_2,31_ZAH_Metro_S,10_AHL_METRO_N
M_1,14_HOF_METRO_S,10_AHL_METRO_N
M_2,31_ZAH_Metro_N,10_AHL_METRO_N
M_3,223_MAT_METRO_N,10_AHL_METRO_N
M_1,7_MAA_METRO_N,10_AHL_METRO_N
M_3,180_HQO_METRO_N,10_AHL_METRO_N
M_1,10_HLW_METRO_N,10_AHL_METRO_N
M_3,180_HQO_METRO_S,10_AHL_METRO_N
M_2,86_SAD_METRO_N,10_AHL_METRO_N
M_2,34_MGR_METRO_N,10_AHL_METRO_N
M_1,27_TAS_METRO_S,10_AHL_METRO_N
M_1,7_MAA_METRO_S,10_AHL_METRO_N
M_3,100_SHO_METRO_N,10_AHL_METRO_N
M_3,226_AIN_METRO_S,10_AHL_METRO_N
M_1,23_MAD_METRO_S,10_AHL_METRO_N
M_3,100_SHO_METRO_S,10_AHL_METRO_N
M_2,34_MGR_METRO_S,10_AHL_METRO_N
M_3,226_AIN_METRO_N,10_AHL_METRO_N
M_3,178_DZT_METRO_S,10_AHL_METRO_N
M_1,27_TAS_METRO_N,10_AHL_METRO_N
M_1,14_HOF_METRO_N,10_AHL_METRO_N
M_3,178_DZT_METRO_N,10_AHL_METRO_N
M_3,81_ATT_METRO_N,10_AHL_METRO_N
M_3,369_FAS_METRO_N,10_AHL_METRO_N
M_3,370_CUN_METRO_S,10_AHL_METRO_N
M_3,144_MSA_METRO_N,10_AHL_METRO_N
M_2,86_SAD_METRO_N2,10_AHL_METRO_N
M_3,370_CUN_METRO_N,10_AHL_METRO_N
M_3,369_FAS_METRO_S,10_AHL_METRO_N
M_3,153_RFG_METRO_N,10_AHL_METRO_N
M_3,144_MSA_METRO_S,10_AHL_METRO_N
M_3,157_KHL_METRO_S,10_AHL_METRO_N
M_3,100_SHO_METRO_N2,10_AHL_METRO_N
M_3,81_ATT_METRO_S,10_AHL_METRO_N
M_3,263_MON_METRO_S,10_AHL_METRO_N
M_3,158_MZL_METRO_S,10_AHL_METRO_N
M_3,153_RFG_METRO_S,10_AHL_METRO_N
M_3,457_OMS_METRO_S,10_AHL_METRO_N
M_3,157_KHL_METRO_N,10_AHL_METRO_N
M_3,457_OMS_METRO_N,10_AHL_METRO_N
M_3,263_MON_METRO_N,10_AHL_METRO_N
M_3,361_DOK_METRO_N,10_AHL_METRO_N
M_2,237_OPR_METRO_N,10_AHL_METRO_N
M_3,326_SHB_METRO_N,10_AHL_METRO_N
M_3,157_STR_METRO_N,10_AHL_METRO_N
M_2,237_OPR_METRO_S,10_AHL_METRO_N
M_3,361_DOK_METRO_S,10_AHL_METRO_N
M_3,457_MEK_METRO_N,10_AHL_METRO_N
M_3,158_MZL_METRO_N,10_AHL_METRO_N
M_3,457_MEK_METRO_S,10_AHL_METRO_N
M_3,100_SHO_METRO_S2,10_AHL_METRO_N
M_2,69_NAG_METRO_S,10_AHL_METRO_N
M_2,69_NAG_METRO_N,10_AHL_METRO_N
M_3,324_ZER_METRO_N,10_AHL_METRO_N
M_3,457_GIZ_METRO_N,10_AHL_METRO_N
M_3,361_BHO_METRO_S,10_AHL_METRO_N
M_3,324_ZER_METRO_S,10_AHL_METRO_N
M_3,157_STR_METRO_S,10_AHL_METRO_N
M_3,457_GIZ_METRO_S,10_AHL_METRO_N
M_2,86_SAD_METRO_S2,10_AHL_METRO_N
M_3,361_BHO_METRO_N,10_AHL_METRO_N
M_3,326_SHB_METRO_S,10_AHL_METRO_N
M_3,77_BSH_METRO_N,10_AHL_METRO_N
M_3,192_KBN_METRO_S,10_AHL_METRO_N
M_3,118_GES_METRO_N,10_AHL_METRO_N
M_3,77_BSH_METRO_S,10_AHL_METRO_N
M_3,208_FZO_METRO_S,10_AHL_METRO_N
M_3,161_ABB_METRO_N,10_AHL_METRO_N
M_3,163_ABB_METRO_S,10_AHL_METRO_N
M_3,118_GES_METRO_S,10_AHL_METRO_N
M_3,81_ATT_METRO_W,10_AHL_METRO_N
M_3,214_AHR_METRO_N,10_AHL_METRO_N
M_3,161_ABB_METRO_S,10_AHL_METRO_N
M_3,214_AHR_METRO_S,10_AHL_METRO_N
M_3,163_ABB_METRO_N,10_AHL_METRO_N
M_3,190_STA_METRO_N,10_AHL_METRO_N
M_3,190_STA_METRO_S,10_AHL_METRO_N
M_3,192_KBN_METRO_N,10_AHL_METRO_N
M_3,81_ATT_METRO_E,10_AHL_METRO_N
M_3,208_FZO_METRO_N,10_AHL_METRO_N
M_1,137_GHM_METRO_S,87_NAS_METRO_S
M_1,23_MAD_METRO_N,87_NAS_METRO_S
M_1,23_SMA_METRO_N,87_NAS_METRO_S
M_1,23_SMA_METRO_S,87_NAS_METRO_S
M_1,159_DMD_METRO_N,87_NAS_METRO_S
M_1,98_ORA_METRO_N,87_NAS_METRO_S
M_1,86_SAD_METRO_S,87_NAS_METRO_S
M_1,159_DMD_METRO_S,87_NAS_METRO_S
M_1,246_DAR_METRO_S,87_NAS_METRO_S
M_3,10_HLW_METRO_S,87_NAS_METRO_S
M_1,98_ORA_METRO_S,87_NAS_METRO_S
M_2,223_MAT_METRO_S,87_NAS_METRO_S
M_1,137_GHM_METRO_N,87_NAS_METRO_S
M_1,180_KQO_METRO_N,87_NAS_METRO_S
M_1,246_DAR_METRO_N,87_NAS_METRO_S
M_1,180_KQO_METRO_S,87_NAS_METRO_S
M_2,232_NKH_METRO_N,87_NAS_METRO_S
M_2,26_KZK_METRO_N,87_NAS_METRO_S
M_2,232_NKH_METRO_S,87_NAS_METRO_S
M_2,251_NMR_METRO_S,87_NAS_METRO_S
M_1,223_HZT_METRO_S,87_NAS_METRO_S
M_1,47_ZEI_Metro_N,87_NAS_METRO_S
M_1,32_MSH_Metro_S,87_NAS_METRO_S
M_2,26_KZK_METRO_S,87_NAS_METRO_S
M_2,251_NMR_METRO_N,87_NAS_METRO_S
M_1,32_MSH_Metro_N,87_NAS_METRO_S
M_1,47_ZEI_Metro_S,87_NAS_METRO_S
M_1,246_HMA_METRO_S,87_NAS_METRO_S
M_1,246_HMA_METRO_N,87_NAS_METRO_S
M_1,160_MSD_METRO_N,87_NAS_METRO_S
M_1,180_SQO_METRO_N,87_NAS_METRO_S
M_2,28_TBA_METRO_N,87_NAS_METRO_S
M_1,160_MSD_METRO_S,87_NAS_METRO_S
M_2,251_MRG_METRO_S,87_NAS_METRO_S
M_2,28_TBA_METRO_S,87_NAS_METRO_S
M_3,10_AHL_METRO_S,87_NAS_METRO_S
M_1,180_SQO_METRO_S,87_NAS_METRO_S
M_2,251_MRG_METRO_N,87_NAS_METRO_S
M_3,10_AHL_METRO_N,87_NAS_METRO_S
M_1,52_SZA_Metro_S,87_NAS_METRO_S
M_1,223_HZT_METRO_N,87_NAS_METRO_S
M_2,14_HHL_METRO_S,87_NAS_METRO_S
M_2,14_HHL_METRO_N,87_NAS_METRO_S
M_1,52_SZA_Metro_N,87_NAS_METRO_S
M_2,10_UHL_METRO_S,87_NAS_METRO_S
M_2,10_UHL_METRO_N,87_NAS_METRO_S
M_1,31_ZAH_Metro_S,87_NAS_METRO_S
M_2,14_HOF_METRO_S,87_NAS_METRO_S
M_1,31_ZAH_Metro_N,87_NAS_METRO_S
M_2,223_MAT_METRO_N,87_NAS_METRO_S
M_2,7_MAA_METRO_N,87_NAS_METRO_S
M_1,180_HQO_METRO_N,87_NAS_METRO_S
M_3,10_HLW_METRO_N,87_NAS_METRO_S
M_1,180_HQO_METRO_S,87_NAS_METRO_S
M_1,86_SAD_METRO_N,87_NAS_METRO_S
M_1,34_MGR_METRO_N,87_NAS_METRO_S
M_2,27_TAS_METRO_S,87_NAS_METRO_S
M_2,7_MAA_METRO_S,87_NAS_METRO_S
M_1,100_SHO_METRO_N,87_NAS_METRO_S
M_2,226_AIN_METRO_S,87_NAS_METRO_S
M_1,23_MAD_METRO_S,87_NAS_METRO_S
M_1,100_SHO_METRO_S,87_NAS_METRO_S
M_1,34_MGR_METRO_S,87_NAS_METRO_S
M_2,226_AIN_METRO_N,87_NAS_METRO_S
M_1,178_DZT_METRO_S,87_NAS_METRO_S
M_2,27_TAS_METRO_N,87_NAS_METRO_S
M_2,14_HOF_METRO_N,87_NAS_METRO_S
M_1,178_DZT_METRO_N,87_NAS_METRO_S
M_1,81_ATT_METRO_N,87_NAS_METRO_S
M_1,369_FAS_METRO_N,87_NAS_METRO_S
M_1,370_CUN_METRO_S,87_NAS_METRO_S
M_1,144_MSA_METRO_N,87_NAS_METRO_S
M_1,86_SAD_METRO_N2,87_NAS_METRO_S
M_1,370_CUN_METRO_N,87_NAS_METRO_S
M_1,369_FAS_METRO_S,87_NAS_METRO_S
M_1,153_RFG_METRO_N,87_NAS_METRO_S
M_1,144_MSA_METRO_S,87_NAS_METRO_S
M_1,157_KHL_METRO_S,87_NAS_METRO_S
M_1,100_SHO_METRO_N2,87_NAS_METRO_S
M_1,81_ATT_METRO_S,87_NAS_METRO_S
M_1,263_MON_METRO_S,87_NAS_METRO_S
M_1,158_MZL_METRO_S,87_NAS_METRO_S
M_1,153_RFG_METRO_S,87_NAS_METRO_S
M_1,457_OMS_METRO_S,87_NAS_METRO_S
M_1,157_KHL_METRO_N,87_NAS_METRO_S
M_1,457_OMS_METRO_N,87_NAS_METRO_S
M_1,263_MON_METRO_N,87_NAS_METRO_S
M_1,361_DOK_METRO_N,87_NAS_METRO_S
M_1,237_OPR_METRO_N,87_NAS_METRO_S
M_1,326_SHB_METRO_N,87_NAS_METRO_S
M_1,157_STR_METRO_N,87_NAS_METRO_S
M_1,237_OPR_METRO_S,87_NAS_METRO_S
M_1,361_DOK_METRO_S,87_NAS_METRO_S
M_1,457_MEK_METRO_N,87_NAS_METRO_S
M_1,158_MZL_METRO_N,87_NAS_METRO_S
M_1,457_MEK_METRO_S,87_NAS_METRO_S
M_1,100_SHO_METRO_S2,87_NAS_METRO_S
M_1,69_NAG_METRO_S,87_NAS_METRO_S
M_1,69_NAG_METRO_N,87_NAS_METRO_S
M_1,324_ZER_METRO_N,87_NAS_METRO_S
M_1,457_GIZ_METRO_N,87_NAS_METRO_S
M_1,361_BHO_METRO_S,87_NAS_METRO_S
M_1,324_ZER_METRO_S,87_NAS_METRO_S
M_1,157_STR_METRO_S,87_NAS_METRO_S
M_1,457_GIZ_METRO_S,87_NAS_METRO_S
M_1,86_SAD_METRO_S2,87_NAS_METRO_S
M_1,361_BHO_METRO_N,87_NAS_METRO_S
M_1,326_SHB_METRO_S,87_NAS_METRO_S
M_1,77_BSH_METRO_N,87_NAS_METRO_S
M_1,192_KBN_METRO_S,87_NAS_METRO_S
M_1,118_GES_METRO_N,87_NAS_METRO_S
M_1,77_BSH_METRO_S,87_NAS_METRO_S
M_1,208_FZO_METRO_S,87_NAS_METRO_S
M_1,161_ABB_METRO_N,87_NAS_METRO_S
M_1,163_ABB_METRO_S,87_NAS_METRO_S
M_1,118_GES_METRO_S,87_NAS_METRO_S
M_1,81_ATT_METRO_W,87_NAS_METRO_S
M_1,214_AHR_METRO_N,87_NAS_METRO_S
M_1,161_ABB_METRO_S,87_NAS_METRO_S
M_1,214_AHR_METRO_S,87_NAS_METRO_S
M_1,163_ABB_METRO_N,87_NAS_METRO_S
M_1,190_STA_METRO_N,87_NAS_METRO_S
M_1,190_STA_METRO_S,87_NAS_METRO_S
M_1,192_KBN_METRO_N,87_NAS_METRO_S
M_1,81_ATT_METRO_E,87_NAS_METRO_S
M_1,208_FZO_METRO_N,87_NAS_METRO_S
M_1,137_GHM_METRO_S,52_SZA_Metro_S
M_1,23_MAD_METRO_N,52_SZA_Metro_S
M_1,23_SMA_METRO_N,52_SZA_Metro_S
M_1,23_SMA_METRO_S,52_SZA_Metro_S
M_1,159_DMD_METRO_N,52_SZA_Metro_S
M_1,98_ORA_METRO_N,52_SZA_Metro_S
M_1,86_SAD_METRO_S,52_SZA_Metro_S
M_1,159_DMD_METRO_S,52_SZA_Metro_S
M_1,246_DAR_METRO_S,52_SZA_Metro_S
M_2,10_HLW_METRO_S,52_SZA_Metro_S
M_1,98_ORA_METRO_S,52_SZA_Metro_S
M_2,223_MAT_METRO_S,52_SZA_Metro_S
M_1,137_GHM_METRO_N,52_SZA_Metro_S
M_2,180_KQO_METRO_N,52_SZA_Metro_S
M_1,246_DAR_METRO_N,52_SZA_Metro_S
M_2,180_KQO_METRO_S,52_SZA_Metro_S
M_2,232_NKH_METRO_N,52_SZA_Metro_S
M_1,26_KZK_METRO_N,52_SZA_Metro_S
M_2,232_NKH_METRO_S,52_SZA_Metro_S
M_2,251_NMR_METRO_S,52_SZA_Metro_S
M_2,223_HZT_METRO_S,52_SZA_Metro_S
M_1,47_ZEI_Metro_N,52_SZA_Metro_S
M_1,32_MSH_Metro_S,52_SZA_Metro_S
M_1,26_KZK_METRO_S,52_SZA_Metro_S
M_2,251_NMR_METRO_N,52_SZA_Metro_S
M_1,32_MSH_Metro_N,52_SZA_Metro_S
M_1,47_ZEI_Metro_S,52_SZA_Metro_S
M_1,246_HMA_METRO_S,52_SZA_Metro_S
M_1,246_HMA_METRO_N,52_SZA_Metro_S
M_2,160_MSD_METRO_N,52_SZA_Metro_S
M_1,180_SQO_METRO_N,52_SZA_Metro_S
M_1,28_TBA_METRO_N,52_SZA_Metro_S
M_2,160_MSD_METRO_S,52_SZA_Metro_S
M_2,251_MRG_METRO_S,52_SZA_Metro_S
M_1,28_TBA_METRO_S,52_SZA_Metro_S
M_2,10_AHL_METRO_S,52_SZA_Metro_S
M_1,180_SQO_METRO_S,52_SZA_Metro_S
M_2,251_MRG_METRO_N,52_SZA_Metro_S
M_2,10_AHL_METRO_N,52_SZA_Metro_S
M_1,87_NAS_METRO_S,52_SZA_Metro_S
M_2,223_HZT_METRO_N,52_SZA_Metro_S
M_2,14_HHL_METRO_S,52_SZA_Metro_S
M_2,14_HHL_METRO_N,52_SZA_Metro_S
M_1,87_NAS_METRO_N,52_SZA_Metro_S
M_2,10_UHL_METRO_S,52_SZA_Metro_S
M_2,10_UHL_METRO_N,52_SZA_Metro_S
M_1,31_ZAH_Metro_S,52_SZA_Metro_S
M_2,14_HOF_METRO_S,52_SZA_Metro_S
M_1,31_ZAH_Metro_N,52_SZA_Metro_S
M_2,223_MAT_METRO_N,52_SZA_Metro_S
M_2,7_MAA_METRO_N,52_SZA_Metro_S
M_1,180_HQO_METRO_N,52_SZA_Metro_S
M_2,10_HLW_METRO_N,52_SZA_Metro_S
M_1,180_HQO_METRO_S,52_SZA_Metro_S
M_1,86_SAD_METRO_N,52_SZA_Metro_S
M_1,34_MGR_METRO_N,52_SZA_Metro_S
M_2,27_TAS_METRO_S,52_SZA_Metro_S
